@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'necross hoy me enterado k se preacticar yoga español jajajaj'
positive,'lilianamarruiz una de las partes más difíciles de la vida es decidir si alejarte o intentarlo un poco más '
positive,'gustavo britez rt ddiosconfio la vida te espera con una gran aventura dale las gracias a dios '
negative,'epaleneo rt ladivinadiva son demasiado torpes rt epaleneo ladivinadiva después dicen que hay una campaña contra ellos '
negative,'carolinamendi rt mabefb rt porfavor canela desapareció de pto azul ursulastrengech flacaguerrerog encontactoec diegospotorno recompensa http t c '
positive,'glgagliardi tus sueños llévalos a la realidad http t co nmkdtesyik'
positive,'carrlamartinez rt soy negro lo se que buena mañana'
positive,'ipecosav mi cielo son tus ojos pero no vemos lo mismo yo te veo pensando en tu y tu me ves con el egoísmo '
positive,'zaynortattoos acabo de salvar un conejito de la calle '
positive,'lasalidamud tachira y valencia reportan colapso total y sin transporte publico '
negative,'mundialmd keylor navas para ir al mundial hemos trabajado fuerte en nuestros clubes http t co qcni heg m brasil '
negative,'sanelche rt ligasfc el emsfc es la razón principal de absentismo en la escuela inmunoindignadxs http t co flr wwupmf'
positive,'grimaldocordoba rt liza lymayoung rpc radio grimaldocordoba\n\nyo me queje d una construcción c roxanamendez y me contesto q eso tema del ingenier '
positive,'july ann rt valeriaflorees abizairies gracias por no decir juernes o sea te amo te amoo'
negative,'zeaprol buddy bailey y la directiva de tiburones acordaron mantener al zuliano http t co g mizvvrc'
negative,'tarssusb trafficvalencia secgneral jareimyguerra hectorllovera aqui lo que hay es satrapas que creen que al llegar al cargo se hicieron dioses'
positive,'hotelazul rt pfcantabria mañana es el día de titzinateatro qué ganas de ver distancia siete minutos a las en la salapereda viernes '
positive,'matias bmx tamitagon yo también te amo mi vida me encanta estar con vos hermosa día que nos toco en el lago'
negative,'davidcalero rt marcostpino como dice la canción quiero ver a los jugadores poniendo huevo y algo más talleres'
negative,'london price plusdaddy wl lol'
positive,'heybelufiori por qué no te callas '
positive,'trafficguayana via mar tigrecachorro en tú casa tus padres no te otorga algo tú destruye tu casa el municipio es la nuestra'
positive,'justmafe rt cromoscomco mateo gana a mención oclacc ficci ficci '
positive,'kamilomont caso extremo jaja'
positive,'gemelita h rt martasalvo buenos días así si poco les voy a echar de menos http t co o fpcigijy'
negative,'yotenerife rt carmen martin es que esta mujer tiene el mejor nombre sorprendida sorprendió en tecnologicasc la mejor lo dicen los aplausos'
positive,'maria rt carlosblanco mporceballoseltachiratrancatodo mporceballoseltachiratrancatodo mporceballoseltachiratrancatodo no al golpe ht '
negative,'amflauta rt decurionbifrost vecinos despejan barricadas para que pase el convoy el cuál llegó rápidamente a la escena dadas las circunstancia '
negative,'andres rt elbarnrojo la fórmula para ser feliz seis cosas que debes hacer según la ciencia http t co gq sdgqs e'
positive,'telosunicornios rt fascaso puraduart kill in actionn javierjuantur la madrid solidaria os espera con los brazos abiertos animo en el camino salud '
positive,'tinistasvascas rt clarialonso camino a la prueba de vestuario de '
positive,'ferry zgza rt foro mdm mitica multa a un miembro de ligallo fondo norte en un valencia zaragoza masturbarse no es delito http t co p rpty '
positive,'gibelys rt causandorisas lo que una adolescente embarazada piensa mi mamá me va a matar lo que el feto piensa mi mamá me va a matar '
negative,'jdconsuflw juevesdeganarseguidores '
positive,'welcometoirene rt elbarnrojo la fórmula para ser feliz seis cosas que debes hacer según la ciencia http t co gq sdgqs e'
positive,'sextoisl suenan unos cuantos temas retro '
positive,'barryspawn rt aritz barryspawn everb eso sí ya no tendré que comprar contratos d'
negative,'shirocaracas rt diosita ministro rodriguez torres anunció que el gobierno designará un alcalde en san cristóbal eso no sería un golpe de estado a sa '
positive,'st reaper javier bosch ya es por la tarde '
positive,'chikooyeoficial rt siempreoye belanova por ti sonando en oye estapadrisima cc oyealbert oyeminechic oyegustavotello al aire sie '
negative,'dpetelaa leflorecarnes http t co ycqooqcs zavyq'
negative,'biancaaylen rt porongossaurio te recibís de hijo de puta cuando despertás a alguien de la siesta '
positive,'lanievesdmurcia rt murciaenfureci la primavera es murciana http t co k bgj xtou'
positive,'uboyjay tengo que reponer un quiz '
positive,'saabriimoreno que feo tener que estar todo el dia aca y sola encima '
positive,'clic girona rt quique jo en uns minuts a món natura parlem de contaminació lluminosa som natus natusterritori gironaara http t co kjlbyzwdjy'
positive,'jjveintimillaq rt heterodoxos obama el verdugo obsecuente http t co lgf aru s'
positive,'medicfami rt hechosam diego luna presentó su cinta césar chávez en la casa blanca barack obama lo recibió y hablaron del activista que defendió a '
positive,'meliabrilvarela rt melaagarnier si me vas a decir hay cosas peores prefiero contarle mis problemas al perro'
negative,'shopapart he publicado una foto nueva en facebook http t co u lpjami '
positive,'aidiana adn alt gracias por la recomendación camarada saludos'
positive,'journ lxs en inglés doy los adverbios de frecuencia chicos puedo morir o no'
positive,'petrichoc susy gala ahora a disfrutar d los resultados '
negative,'sabriibergara rt solrodriguezrob la mejor sensación del mundo tener un amigo que odie a las mismas personas que vos '
negative,'lorenzocipres ciclismo danibici en esa curva eché yo una vez un pis un local me señaló después hacia abajo indicándo precisamente la línea meta'
positive,'pancho escobar premio nobel de economía destaca a chile como historia de éxito basada en la educación http t co l rlzhntdj'
positive,'anyiarts rt templarii vzlno el asesinato de génesis carmona cumple hoy mes descansa en paz mleopoldovamosporti http t co klhfejfkzz'
positive,'enriquevene rt tortasgladys chuotorrealba carloshe realmente sin entender cual es la paz del gobierno lamento lo d su hijo pudo ser el mio q ta '
positive,'rafalinperez esta tarde te esperamos a las en pistas del torcal partido de liga del cadete pasate y disfruta del partido no te lo pierdas torcal'
positive,'milyynogueira vitooluggren jaja si eso esta bueno yo ni idea '
positive,'zuleimaplaceres rt williecolon escandalo panamá esposa de cabello figura en de empresas que acabaron con cadivi http t co qafkakha j http '
positive,'besef lucasfelline esplanades morray h'
negative,'juliangarzonj demos las gracias a dios demos las gracias a él '
negative,'emelec man rt politica australia verificará posibles objetos de avión de malaysia airlines en el océano índico http t co k egrrfcz http t c '
positive,'soff shelley harry styles you re pic is so cute harry tequiero saludos desde cozumel méxico http t co ny mjttfuk'
negative,'liborio lazo beneficios de beber agua en ayunas culturizando http t co xyegstrjka beatrizsaen lazoaj angieeus holanda dragriss'
positive,'soophiar prof a la tarde no te puedo traer mis planos dalena con un termo forrado de olimpia si queres '
positive,'mariirivass rt elbarnrojo la fórmula para ser feliz seis cosas que debes hacer según la ciencia http t co gq sdgqs e'
positive,'julio flute rt isarcasmos los del tsj se ponen una toga y un birrete y avergüenzan la carrera del derecho '
positive,'imalvaeziliana rt tuitenblanco la vida se vive valiendote verga lo que digan los demás '
positive,'techy n hahahaha echale en pa que afloje rt eldeficit como que necesito un do de sandungueo '
positive,'guiboffano le caigo bien a la de literatura quebueno'
negative,'elgocho rt juanrequesens hoy marchamos tras los terribles atropellos de ayer a nuestra ucv los alcaldes y jóvenes vzlanos info gt http t co '
positive,'sandra y bueenoo hoy con mi mejor amigo crj'
negative,'gustavo macie http t co yz c jilx'
positive,'artistsupporter farzanehal leemosencasa adamlambert lt '
positive,'mcecriz rt jcpalmafc furiadeferg ier ec gabypazmino no imxta ella también acude a la reunión de contenido y si se da cuenta obvio ablara de e '
positive,'cacheesoto en la carpeta puse solo encontra a curucha y no lo abandones '
positive,'juliiberriel nos vamos a buenos aires jua'
positive,'briaanbruscook que me parta un rayo si te perdono'
positive,'fcfrancespabloa rt alboranista fcfrancespabloa capitulo eterna despedida http t co c miycced novelacontigoosinti'
positive,'martacabreraa rt sevillafc hoy es el día vamosmisevilla dicenquenuncaserinde http t co gkkomg p c'
positive,'jomogosa priorities http t co jjwdebjyiq '
positive,'dayanacarupe libertyhelpve ve recibieron mis productos hace un mes y no se ven en mi cuenta ayuda'
negative,'eliclaret rt juanandresmejia esta madrugada smolansky pizarro y ocariz fueron a ramo verde confirmaron que ahí están leopoldo ceballos y escarano'
positive,'majadmacita rt candanga mary nicolasmaduro se cumplió la profecía d reinaldo do santos cuando decia leopoldo no está solo pues ahora esta con scara '
positive,'anagcardonae evelingtrejo por favor en la urb urdaneta la u e madariaga esta desbordada la cloaca el olor es fatal para los estudiantes ayuda alcaldesa'
positive,'ennyriera mi ángel de la guarda te pienso te quiero y te extraño siempre estarás en mi corazón http t co kg kcvubmi'
negative,'dggirardot rt nicolasmaduro nuestra victoria será la paz y se consolidará con la justicia los fascistas pagarán sus crímenes contra nuestro pueblo y '
positive,'rosmeryflorez rt liliantintori todas las mañanas le pedimos a la virgen que cuide a papi liberenaleopoldo libertad sosvenezuela http t co ccirgk '
positive,'carloscba hace semanas que no leo nada sobre napoleón que me esta pasando doctor '
positive,'salasmariale solo hay que ser objetivos y justos con la verdad'
positive,'danigar a bighabana eso queremos paz'
negative,'sanchez junio rt videovinees cuando no te dejan copiar https t co mcxzeobtej'
positive,'darlonjose rt marvin valle terrible amanecer con dolor de cabeza'
positive,'rodrigobzz día internacional de la felicidad sonrie a la vida no te estreses por nadie a sonreír y compartir historias felices '
positive,'daroedgar rt folivares es evidente que al gobierno siempre le conviene generar ambientes de violencia ese es su terreno natural '
negative,'mundoastoria no es fin de semana pero casi casi ánimo y que tengan un excelente día '
positive,'empleo galicia trabajo empleo xinzodelimia ourense fisioterapeuta http t co wygmmhbwgl'
positive,'lorenapardo rt mrwonderful feliz día internacional de la felicidad diadelafelicidad felicidad mrwonderfulshop http t co vfugwyfsvz'
positive,'giav rt carlosramirezl presos los alcaldes y ahora que desconocida la constitución y ahora que http t co uapbvm edm vía ahoravision'
positive,'lyoko codigo rt gaia no se trata de quien esté contigo se trata de quien te roba los pensamientos http t co oc bbm '
positive,'mariicruz hace tres días terminé las tragedias de sófocles y acabo de leer el segundo capítulo de drácula de bram stoker '
positive,'belenlainseis rt fullsexytattoos la fórmula para ser feliz seis cosas que debes hacer según la ciencia http t co k mndttstl'
negative,'estadoprusa venezuela maría corina machado y el estado de derecho chavista\nverdades que prensa colonialista no informa\nhttp t co kknfy b qa'
negative,'tacvll yosoynory puedes escribir a tac fmcva org si no puedes hacer la inscripción de forma presencial '
positive,'forociudadcom baja un las tran inmo en el municipio de matamala de almazán desde t a t http t co eflnn la a'
positive,'lauort rt vanesamartin barcelonaa no tengo palabras para contaros como os sentí anoche en un gracias me quedo corta cuídense tanto http '
negative,'marisa marquez rt postureoespanol ya es primavera http t co fga f vym'
negative,'davidst javilopeza alex de sotelo hay leyes que son vergonzosas nada nuevo esto es españa'
positive,'itakepills nadie sabe el porque siempre uso manga larga '
negative,'elarcanotrece rt manolitosalazar petrogustavo promoverá el voto en blanco en las elecciones presidenciales la primera manifestación será en barranqu '
positive,'lalibretadelmr tienen muchos recursos tus delanteros en el x entrena con esta tarea de futbol http t co fv yzqzu'
positive,'uchimorillo mi tatii que es de tu vidaa\n tatipelaezp'
positive,'mariajolealr como ya no llegué a la u '
positive,'miriaam rt unaiumno cuando me sale un ejercicio a la primera http t co ljqyhfxpzd'
negative,'maryjordan rt pereno y algo mejor q te has olvidado pasar la mañanita por mis barrios y celebrar este mesecito tu si q eres la mejor te quiero m '
positive,'mau and moon rt tarantwitno hay que poner toda la carne en el asador pero el que la ase la paga '
positive,'camposser rt pontifex es aprendamos a decir gracias a dios a los demás lo enseñamos a los niños pero luego lo olvidamos '
positive,'tigrera rt elimpulsocom universitarios reclaman paz y libertad http t co wmid v eeq http t co edxatfmyce'
negative,'noelia c rt officialcritika y es que me da igual perder trenes que no lleven a ti sabes '
negative,'elchuecopaz rt dflatorre los que tienen que evaluar son los que aprueban justifican y les encanta la miseria hay gente que se mueve mejor en la med '
positive,'lhucilo mananascuatro por qué se permite a la derecha interrumpir el discurso de los que respetuosamente hablan sólo cuando se les da el turno '
positive,'informatesalta el acuerdo repsol ypf será tratado en el senado lee la nota aquí http t co ofhffkzkes y dejanos tu comentario http t co gvmtr ijjg'
positive,'raquelmenche yo hoy no voy a iti esloquetieneestufiarfuera'
positive,'ariisalinarde gracias por gritarme y bajarme la ventana a golpes mil gracias boludones'
positive,'monicasabe con quien te desvelas '
positive,'hernanfsl rt vebe rctv contigo insólito grupo armado golpearon y robaron hasta la ropa a los estudiantes arq ucv pm m http t co qt '
negative,'arrianejacinto perfect ka feelerka '
negative,'yalidelgado rt bpinspiracion papadios te pido de rodillas como muchos de mis hermanos vzlanos q cortes las cadenas q nos atan y q todos vuelvan sus '
positive,'srodrgz poesía '
positive,'rosipedrote regalito de la abuela http t co yuilehqwdy'
negative,'verajoseg los ácidos grasos como el salmón y las nueces ayudan a mantener la piel sana suave y joven combatiendo el envejecimiento y las arrugas '
positive,'automoviles opel mokka o cómo cosechar un éxito de pedidos en meses http t co pk ldwdyng'
positive,'xandreground rt caloasecas nunca conozcáis a una puta nunca os encariñéis de una puta nunca perdáis nada por una puta es demasiado mainstream '
positive,'andersonmederos grêmio lidera o grupo da la com pontos seguido por nacional col nob nacional uru '
positive,'coftah belena gracias tatiana por tus rts y fav un fuerte abrazo'
positive,'albertogarciah rt gdavilaoficial es evidente mientras más intenten callar a un pueblo más fuerte se torna su respuesta esto es un país y se debió re '
positive,'jessicasanchezp gracias dios padre todo poderoso por darnos una nueva oportunidad de estar con vida '
positive,'elimartinez o van a hacer la segunda parte de la peli los increibles noo que buenoo'
positive,'whiitech dicen que si pruebas con trabajar y o estudiar se te pasa la pendejada de hacerte cargo de tuits que no son para ti '
positive,'erikadelvallee rt rctvenlinea en redoma de hoyo de la puerta paralizo el transito\nhttp t co mblvnnk x vía aaranea'
negative,'spenafajuri buena columna de enniovivaldi en chile no hay universidades públicas http t co wis jetta'
positive,'draivemorales comencemos la privamera con animo de fiesta porque la naturaleza nos recuerda la belleza de la vida http t co swo yg zu'
positive,'nolcho rt milenio el chapo es un niño de pecho comparado con ladrones de la política lopezobrador http t co khzyd b '
positive,'leocar escaseo el combustible en las estaciones de servicio quien explica eso ahora largas colas para surtir gasolina en el zulia'
positive,'koralina jr rt rniviayo koralina jr q tengas un feliz jueves bendecido y lleno de bendiciones '
positive,'deny mm bambass esto es bambass video oficial estrenamos nuestro grupo bambas con este video y tema inédito que http t co eqogabpqf'
positive,'aalondralvarado rt danielaamtz sin duda alguna una experiencia inolvidable gracias a los que creyeron en mi tabasco tiene flor y que empiece la feria '
positive,'rocio mateos rt yosisedefutbol entra en el sorteo de estas botas con un simple rt y siguiendo a yosisedefutbol y a tiensolofutbol fin hoy h '
positive,'ygsolar rt jordiglez jorge javier vázquez le pasa el testigo a jordi gonzález los sábados son tuyos http t co zvcm o ku vía telecincoes'
positive,'leonvost bluradioco nicolasuribe no se dan cuenta santos acaba de perder las elecciones al destituir a petro mala jugada santos '
positive,'floormediina fue'
negative,'noticierodelafm el resultado de las protestas y bloqueos en cali http t co cgi nizot oigolafm'
positive,'gihad la y yo aquí escuchando los sermones de la profe es que no puede ser mas pesada'
positive,'mellgriselle hay una rata o sarigüeya en mi salon pue xd'
negative,'wladiob rt gabycastellanos os ofrezco todo mi conocimiento para que luchemos juntos por la democracia de venezuela me faltan manitos me ayudais '
positive,'andrea ramos los jueves fisica a la ultima '
positive,'crucero sl pullmantur en la feria amp workshop de cruceros este fin de semana y en el sitc el y de abril turismo pullmantur http t co o zidfqfi '
positive,'srdsan rt marcgolab al menos siete autonomías se niegan a adaptar los libros de texto del próximo curso a ley wert http t co tbzzif vy '
positive,'freddyasubero rt carlosamontaner en vnzla el muerto es culpable por protestar el asesino es la víctima por verse obligado a matar orwell vive en mira '
positive,'juliancfg robot periodista dio exclusiva de terremoto en los ángeles http t co oe f wt pu'
positive,'danysucre rt elimpulsocom universitarios reclaman paz y libertad http t co wmid v eeq http t co edxatfmyce'
positive,'enderlyprado http t co wbcadreyeo'
negative,'livefredy rt alecruz bea bqto un poco de nosotros saludos http t co idgyax c z'
positive,'grecocami perdí a mi jefa en el palacio help'
negative,'maxirojo cocca demuestra q sin jugadores se puede jugar bien y ganar y expone más al resto '
positive,'beaalvamo rt marta escamilla con el wally y con quien hagaa faltaa jajajaj luciamalibu beaalvamo'
positive,'bestblague ados rt entournage final fantasy x x disponible vendredi http t co nlr xzcklj'
positive,'yuripunk las chacaticas re la cacha lt lt http t co ieq d nxw'
positive,'sripolls laisla fm q tal hermanos isleños cuanto tiempo sin star por la isla desearos que l lo paséis genial no voy a poder ir pero no '
positive,'cansinescarol rt gdavilaoficial es evidente mientras más intenten callar a un pueblo más fuerte se torna su respuesta esto es un país y se debió re '
negative,'dondeestawally rt jodiendofotos no te pierdas este video http t co s ouybdgx'
positive,'paolacardiel rt sombras lo fácil aburre lo difícil atre y lo imposible obsesiona '
positive,'romeroluuly que bueno que esta el chico bueno'
negative,'luiscella ayer la remontada del united no sólo la hizo van persie también d degea tuvo mucho que ver '
positive,'pablo duran rt protecciocivil a les h es farà provasirenes de risc químic a elprat cat i santjoandespi http t co qdlaiy aya'
positive,'marcelatoro rt juanpis buenos días país sin memoria '
positive,'agusmanera que se siente averte enterado que tu amorsito te gorr mira vos que interesante yo me rio de vos que andas http t co iw pmhdqfc'
negative,'cosmebonet finalment anuncia connexió d ib tv amb debats matinals d ràdio a més del programa minuts a tv rectificant la línia dels darrers anys'
positive,'listasmiercoles el mejor plan para salir por madrid este finde faena madrid atocha listas aitor caballero whatsapp listas reservados'
positive,'sanrg en alternativa con los guapos '
positive,'andy espinola rt jorgeavilam haz que tu idea de negocio sea infalible http t co z ivczgavh'
negative,'yeniidelarosa poetacalle felicidades mi amor '
positive,'giva rt pontifex es aprendamos a decir gracias a dios a los demás lo enseñamos a los niños pero luego lo olvidamos '
positive,'reinacris rt eddisplay mangelrogel rubiu muchoánimo'
positive,'fabianmatiass yo quiero ver esas piñas pero salgo re tarde '
positive,'reinayasnelyzoz empleados de mcdonald s protestaron duro en ciudades gringas por robo del sueldo véalos http t co hzmbg irqv http t co bdvfkleifs'
positive,'claudiarelaxing ahora dando followback a todos los siguemeytesigo '
positive,'elainecruzme joshualaguisma bimmeneses oh dnala nia '
positive,'mavobraiotta rt elregalomusical lamusicaclasica muchas gracias '
positive,'heosorio cjmindfreak greivisvasquez no tenemos paz un coño gente ha muerto presos politicos injustos y una sociedad ciega a lo que esta pasando '
positive,'sinceralocura rt lunaoculta sinceralocura buenas noches salaoo '
positive,'gastonbaeza rt zodiacohoy aries ya no guardes rencor hacia esa persona que te trató mal en un pasado deja que tu corazón se cure para q puedas volv '
positive,'mrpowa rt supersarcasmo hace tiempo que el rey no se cae qué estará tramando '
positive,'vigote stilo miles de indignados españoles tomarán madrid para reclamar derechos las movilizaciones estarán integradas por afectados por las hipo '
positive,'mercemm neo thanatos que te cuente adri '
positive,'djpaco video gt arcangelprra contigo quiero amores http t co uv wqtoxcz via queflowsin com freddymiranda ln '
positive,'mayletlugo rt trafficarc via vivianm lilibertmolina no hay paso para entrar ni salir de san diego pero la variante si libré paso por los momen '
positive,'carmenceliagg felíz cumpleaños de nuevo mi amoll jagogui te quieroo '
positive,'nikolabandovic rt historia fotos evolución de nueva york desde http t co svwjntkjaa'
negative,'igara rt noantica ガッ http t co y o snixn'
negative,'cbarbara rt anonymousargua sin valentía no saldremos de este régimen team hacking aragua se une araguadespierta'
positive,'susanalmenara rt prologocreativo consejos sobre cómo hay que construir el perfel profesional en redes sociales http t co nbowl n ae brandingperson '
positive,'irinarojas ya me acoste en tres me duermoo'
negative,'cuatromilocho contrasentido del capitalismo por una parte defienden el comercio global y por otra lo impiden como hacen con cuba'
positive,'florsantacruz maxi seguis malo o ya me queres '
positive,'corinavarro ingles y la puta que te pario te odio con el alma'
positive,'djalejandropty video gt arcangelprra contigo quiero amores http t co wnbjufbra via queflowsin com freddymiranda ln '
positive,'homerovt son tan hopocritas que hablan de golpista y mirenlos'
positive,'so sepulveda me pare de la cama y casi me hago mierda que tendre en la pierna '
positive,'karlacerrutti rt angelicalugob m gt juanrequesens al estudiante arquitectura ucv le colocaron puntos de sutura http t co toz zhhgab '
positive,'lfsantecchia flordasilveira un placer rescatarte amiga ahora soy libre y estoy a tu entera disposición'
positive,'dramatictone quién cojones puede llamar hacerse llamar que no sé qué es peor cake '
negative,'diiazkariina espero que guardes de mi algun recuerdo '
negative,'wendyr rt rlaviery documento de tribunal de roma sobre escandalolavitola el nombre de qué presidente es mencionado ydondeestamimito http '
negative,'derlyncantillom hija lo eres todo '
positive,'conniecalles rt sabiastuque aprende de la luna que aunque se encuentre sola nunca deja de brillar http t co us fnuozc '
positive,'luisangelmate plataformarc así da gusto gracias '
positive,'chatran rt el carabobeno reaparecen barricadas en valencia naguanagua y san diego http t co r ozta yd ciudadec http t co svnyy rquq'
positive,'cosentinog rt gdavilaoficial cuanto tiempo se puede esconder la mentira no te burles de tu semejantes indefensos sus respuestas no te dañaran a '
positive,'editorialespasa el díainternacionaldelafelicidad asanjoseperez charla con los lectores de abc es a las h envía tu pregunta http t co o mropatvq'
negative,'vegetariana rt indira buenos dias no hay paso en montaña alta ni para caracas ni para los teques '
positive,'marioernesto siempre es así el dolor cambia las personas un productivo día para todos '
positive,'jearh siempre seguirás igual tímida indecisa insegura y desconfiada solo trata de dar un poco de lo que sea '
positive,'carlossricoo bradleybechtel s'
positive,'annamoriano rt marta fmuela un matrimonio bailenense gana el juicio a caja madrid por la venta ilícita de preferentes http t co sv su elpz http '
negative,'nicontuwifi javilenalfc plyred cuando lo defienden son más guardiolistas que el propio guardiola '
positive,'dervinhuerta los del tsj se ponen una toga y un birrete y avergüenzan la carrera del derecho '
positive,'doserre rt diariotalcual portada de talcual de hoy http t co zta r la '
negative,'superguilla rt capitalbolsa peticiones subsidio desempleo eeuu vs esperado http t co bsvexzh xq'
positive,'ayunoviachandra d academy pancen oyee gt ơ ǐɨɨǐɨɨǐɨɨǐɨɨǐɨɨǐ'
positive,'wilsonverairala rt uncursisuelt mujer existimos dos tipos de hombres los que te dicen princesa los que te hacen sentir como una '
negative,'exeeirala cuando las estrellas iluminan mi pasado puedo verte de rodillas pidiendome que vuelva '
positive,'melisaquinteroc rt villcafdez alerta alerta más de estudiantes acaban de se arrestados por la guardia nacional en el estado trujillo'
positive,'noeliasinprisa estoy un poquito decepcionada jope'
positive,'soylindadiaz jum hoy ba a ser un dis muy especial por que estamos con dios'
positive,'skar gmz y suben ahora el nuevo episodio de shameless cuando ya no hay forma humana de que me de tiempo a verle'
positive,'rpuebla '
negative,'iquekris rt mauigo buenos días '
positive,'anabell ana rt lolaromeu lo que aquí niegan fuera lo reconocen http t co fz hundvht'
positive,'fisco ideas poder ejecutivo secretaria de gobernacion acuerdos de la ii sesión extraordinaria del consejo de coordinación http t co fpg xl a '
positive,'hissiajewelry este sábado de marzo organizamos nuestro primer showroom en el hotel fataga contamos contigo ceciliaquintan http t co tkf pa x '
positive,'francyscoaisa sigo solo aqui en este bar faltan todos y faltas tu imagino tu cuerpo aqui con la luna a contraluz me quedare bebiendo esta copa a tu salud'
positive,'juanchojaraba s demos gracias a dios a todos ya nos dio el primer milagro amanecer con vida '
negative,'paooh jajaja te haces el poeta y todos tus poemas son sacados de google '
negative,'apuntostgo en la empresa pensar no es existir piensa actua hazte conocido luego existes'
positive,'ro chocolatito rt dadybrieva buendiaparavos que odias perder tiempo llamando a atención al cliente americaam '
positive,'mariamag rt elnacionalweb capriles alerta sobre posible autogolpe del gobierno http t co zp r kiq'
negative,'oficialgrupocs temblor sismo km al ne de baquedano preliminar no\nmagnitud profundidad km http t co xdl tjnn concienciasismica'
positive,'judithnumer rt rapinango las garantías están suspendidas de la peor manera por la vía de los hechos '
positive,'ciscop temblor sismo km al ne de baquedano preliminar no\nmagnitud profundidad km http t co s dhlwyk concienciasismica'
positive,'miqaag rt elcosodelapizza vos no me amas porque soy daltonico no decime la verdad celeste te dije veces que me llamo violeta pelotudo '
negative,'yu ntpn rt sandritamburke enelañoquenaciolaobregon quedaba una semana para el big bang '
positive,'maxwellssmart juandiegobp noxpadel noo ojala hubiese sido eso en la mía pro lo mío es fisura nadie me ayuda y el q vendió me dice garantía d fabrica'
positive,'larubiaomg rt milagrosmonzon no puede salir el sol ya por favor '
positive,'tangyfelipe el próximo miércoles hay otra marcha de la ctera vamos compañeros no afloje esta gente nos están extorsionar soy auxiliar de ate'
negative,'ceroncruz rt keyotrabini la policía es el ejército personal del gobierno defendiendo a la mano que les roba por eso los eligen tontitos '
positive,'claudiomoyano rt fil s fia sabes que estás enamorado cuando te peleas con esa persona y después te mueres por ir y darle un abrazo '
positive,'irisvillegass rt simonandrs delincuentes con togas rt reporteya m am pdta tsj gladys gutiérrez lee sentencia contra alcalde enzoscarano http '
negative,'sixxaraya rt laextremaroja labarrahp hoy todos con el arabeunido que representa a panama vs ldacr asiste http t co bgzdj ftbl laextremar '
negative,'bdcomunicacio comunicación socialmedia vídeo corporativo de bon dia comunicació para bancaja sobre los premios http t co qodx uxqzg'
positive,'vasvimi rt carloshe de que me sirve haver estado apoyando esta revolucion para que se cometan estos atropello'
positive,'mgloria rt misaricotera ricoterosdealma días jijiji que tiemble el universo el abril http t co l vil pl'
positive,'johanna sofia rt elnacionalweb titularesen solo de los hospitales tiene material médico http t co x bwt wfk '
positive,'sombra fs petitpanda fs no me daba cuenta la abraza y pone ojito manga '
positive,'pablodachagas rt uruguaylatecap compilado hinchada peñarol frente a arsenal copa libertadores video de somos carboneros http t co qfjtfhhonw'
positive,'evelynbogado rt solheisecke quiero volver a mi niñez por lo menos por una semana donde no había preocupaciones ni responsabilidades solamente jugar '
positive,'barrioempiredr bambass esto es bambass video oficial estrenamos nuestro grupo bambas con este video y tema inédito que http t co ce nbkvj '
positive,'elurban psicoseba no no salgo en la semana'
positive,'ombudsmanmexico hugo páez el big brother de ortega en la línea la teoria del caos http t co jczqpx ntr karilabastida'
negative,'laionm creo que cacho no viene la colgo '
positive,'construlavi rt noticiascyl inversión de euros para restaurar la colegiata de san cosme y san damián de covarrubias http t co epmovlyjcu'
positive,'mechita rt pontifex es aprendamos a decir gracias a dios a los demás lo enseñamos a los niños pero luego lo olvidamos '
negative,'nazarett rt inmaavg sonmicrocuentos solía contar hasta diez cuando llegaba algún problema comprobó que era mejor contar con sus amigos micr '
positive,'retwitera vzla brutal agresión policia de aragua y colectivo le caen a palo a un estudiante en maracay http t co ersmrbgojp vía dolartoday'
negative,'esther bismarck leyendo todo tipo de críticas sobre dallas buyers club siento que si digo algo negativo sobre jared leto voy a sufrir un linchamiento '
positive,'niconiee yuauyuauy 人所持してる'
positive,'shoyos rt aspamasqperros milton esta chica preciosa de años espera un hogar que la de amor confianza adopción aspalamancha yahoo es http t '
negative,'camipulti agos diosa'
positive,'joseoliverdiaz para los menos atrevidos el x esta a no se porque pero no veo ganando al madrid '
positive,'arte urbano la libertad no es la ausencia de compromiso sino la capacidad para escoger y comprometerme con lo q es mejor para mi '
positive,'ruthidelvalle rt maguii zarate los picholos y picholas del paraguay '
positive,'fjmartin es rt bqreaders recopilación con algunas de las aplicaciones de lectura y educación que deberías tener en tu smartphone http t co k s qewgbm'
positive,'pamecalderonn estas aquí tocando el centro de mi alma '
positive,'luciagaallardo telita con el pavo de mi lao más cansino que falete en brazos colega '
positive,'pepo power a este paso como en el banco '
positive,'jesucristopv bibliacuriosa la oración mas larga de jesús se encuentra en juan cuando él ora por sus discípulos '
positive,'vlucy rt ccspressclub estudiantes marcharán en apoyo a alcalde de san cristóbal http t co kcppozro vía elnacionalweb http t co h q d h '
positive,'rafaabb soymariara http t co bezvwjukka esto también te parece hermoso pobre ser apátrida sin vergüenza '
positive,'roosaa rt sabiasundato o día internacional de la felicidad '
positive,'cojedesnoticias el universal examinan a joven que obligaron a comer sustancias fétidas http t co rsnjj wqlf'
positive,'rpalach rt rtografia no diga transtorno es trastorno tampoco diga transnocho es trasnocho '
